sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
88; BUSI 176; Business Research & Decision Making; B; 12:00 PM - 2:45 PM; ; Bosu Seo; 3.00
89; BUSI 222; Financial & Managerial Accounting; A; 12:00 PM - 1:15 PM; W; Serena Wu; 3.00
90; BUSI 222; Financial & Managerial Accounting; B; 3:00 PM - 4:15 PM; W; Serena Wu; 3.00
91; BUSI 231; Principles of Marketing; A; 3:00 PM - 4:15 PM; W; Brian 't Hart; 3.00
92; BUSI 231; Principles of Marketing; B; 4:30 PM - 5:45 PM; W; Brian 't Hart; 3.00
93; BUSI 245; Fdntns of Business Law in Canada; A; 8:00 AM - 9:15 AM; R; Jessica Spraggs; 3.00
94; BUSI 275; Business Statistics; B; 9:30 AM - 10:45 AM; ; Tracy Stobbe; 3.00
95; BUSI 280; Organizational Behaviour; A; 12:00 PM - 1:15 PM; W; Jani McKay; 3.00
96; BUSI 280; Organizational Behaviour; B; 1:30 PM - 2:45 PM; W; Jani McKay; 3.00
97; BUSI 280; Lab for BUSI 280; Lab A; 3:00 PM - 4:15 PM; ; Jani McKay; .00
98; BUSI 280; Lab for BUSI 280; Lab A; 3:00 PM - 4:15 PM; ; Jani McKay; .00
99; BUSI 280; Lab for BUSI 280; Lab A; 4:30 PM - 5:45 PM; ; Jani McKay; .00
100; BUSI 280; Lab for BUSI 280; Lab B; 3:00 PM - 4:15 PM; ; Jani McKay; .00
101; BUSI 280; Lab for BUSI 280; Lab B; 3:00 PM - 4:15 PM; ; Jani McKay; .00
102; BUSI 280; Lab for BUSI 280; Lab B; 4:30 PM - 5:45 PM; ; Jani McKay; .00
103; BUSI 301; Managerial Economics; A; 12:00 PM - 1:15 PM; W; Tracy Stobbe; 3.00
104; BUSI 301; Managerial Economics; B; 1:30 PM - 2:45 PM; W; Tracy Stobbe; 3.00
105; BUSI 311; Global Issues in Business; A; 9:30 AM - 10:45 AM; ; Brian Albright; 3.00
106; BUSI 311; Global Issues in Business; B; 12:00 PM - 1:15 PM; R; Brian Albright; 3.00
107; BUSI 317; Investment Theory; A; 12:00 PM - 2:45 PM; ; Liping Zhang; 3.00
108; BUSI 322; Intermediate Accounting II; A; 8:00 AM - 9:15 AM; R; Brent Groen; 3.00
109; BUSI 324; Management Accounting II; A; 3:00 PM - 5:45 PM; ; Kevin DeWolde; 3.00
110; BUSI 334; Sales Management; A; 6:15 PM - 9:00 PM; ; Tba; 3.00
111; BUSI 342; Management Finance; A; 6:15 PM - 8:45 PM; ; Ian Angell; 3.00
112; BUSI 346; Law for the Business Manager; A; 12:00 PM - 1:15 PM; R; Jessica Spraggs; 3.00
113; BUSI 346; Law for the Business Manager; B; 9:30 AM - 10:45 AM; ; Jessica Spraggs; 3.00
114; BUSI 346; Law for the Business Manager; LC; 1:00 PM - 4:00 PM; ; Kevin Sawatsky; 3.00
115; BUSI 352; Managing the Human Resource; A; 12:00 PM - 1:15 PM; W; Andrea Soberg; 3.00
116; BUSI 352; Managing the Human Resource; B; 9:30 AM - 10:45 AM; ; Andrea Soberg; 3.00
117; BUSI 363; Organizational Design & Development; A; 8:00 AM - 10:45 AM; ; Joan Deeks; 3.00
118; BUSI 363; Organizational Design & Development; B; 12:00 PM - 2:45 PM; ; Joan Deeks; 3.00
119; BUSI 377; Operations Management; A; 8:00 AM - 10:45 AM; ; Mark McKay; 3.00
120; BUSI 381; Advanced Topics in Operations Mgmt.; A; 12:00 PM - 2:45 PM; ; Mark McKay; 3.00
121; BUSI 395; LLC Internship; LC; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
122; BUSI 396; LLC Internship; LC; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
123; BUSI 412; Interntn'l Economic Competitiveness; A; 3:00 PM - 5:45 PM; ; Sung Min Yoo; 3.00
124; BUSI 421; Advanced Accounting; A; 9:30 AM - 10:45 AM; ; Serena Wu; 3.00
125; BUSI 426; External Auditing: Concepts/Methods; A; 8:00 AM - 10:45 AM; ; Tillie Parmar; 3.00
126; BUSI 428; Canadian Taxation; A; 12:00 PM - 1:15 PM; W; Brent Groen; 3.00
127; BUSI 430; Marketing Research; A; 3:00 PM - 5:45 PM; ; Ronnie Gao; 3.00
128; BUSI 435; Marketing Management; A; 6:15 PM - 9:00 PM; ; James Tweedy; 3.00
129; BUSI 437; Advertising & Promotional Strategy; A; 8:00 AM - 10:45 AM; ; Brian 't Hart; 3.00
130; BUSI 441; Advanced Topics in Business Finance; A; 3:00 PM - 5:45 PM; ; Ian Angell; 3.00
131; BUSI 446; Commercial Legal Relations; A; 8:00 AM - 10:45 AM; ; Kevin Sawatsky; 3.00
132; BUSI 453; Managing & Devel the Human Resource; A; 8:00 AM - 10:45 AM; ; Joan Deeks; 3.00
