sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
526; LDRS 432; Building Leaders II; I5; 9:00 AM - 12:00 PM; ; Jonathan Michael; 1.00
527; LDRS 432; Building Leaders II; IN; 4:30 PM - 7:30 PM; ; Rob Bedard; 1.00
528; LDRS 432; Building Leaders II; IR; 9:00 AM - 12:00 PM; ; Kate Walters; 1.00
529; LDRS 432; Building Leaders II; OL; 9:00 AM - 12:00 PM; ; Kate Walters; 1.00
530; LDRS 433; Building Leaders III; IS; 12:00 AM - 12:01 AM; ; Rob Bedard; 1.00
531; LDRS 433; Building Leaders III; OL; -; ; Rob Bedard; 1.00
532; LDRS 440; Developing Admin Competence; A; 6:00 PM - 9:00 PM; ; Linda Long; 3.00
533; LDRS 440; Developing Admin Competence; I2; 9:00 AM - 12:00 PM; ; Kevin Carmichael; 3.00
534; LDRS 440; Developing Admin Competence; I3; 1:00 PM - 4:00 PM; ; Kevin Carmichael; 3.00
535; LDRS 440; Developing Admin Competence; I4; 5:30 PM - 8:30 PM; ; Nancy Ketler; 3.00
536; LDRS 440; Developing Admin Competence; IN; 12:00 PM - 2:45 PM; ; Kevin Carmichael; 3.00
537; LDRS 440; Developing Admin Competence; IR; 9:00 AM - 12:00 PM; ; Kevin Carmichael; 3.00
538; LDRS 464; Authentic Learning Communities; OL; -; ; Daniel To; 3.00
539; LDRS 490; Leading in the World; I2; 1:00 PM - 4:00 PM; ; Gang Li; 3.00
540; LDRS 490; Leading in the World; I3; 9:00 AM - 12:00 PM; ; Mark Halvorson; 3.00
541; LDRS 490; Leading in the World; I4; 1:00 PM - 4:00 PM; ; Mark Halvorson; 3.00
542; LDRS 490; Leading in the World; IN; 12:00 PM - 2:45 PM; ; Kathie Chiu; 3.00
543; LDRS 490; Leading in the World; IR; 9:00 AM - 12:00 PM; ; Gang Li; 3.00
544; LDRS 491; Leadership Practicum #1; OL; -; ; Kathie Chiu; 2.00
545; LDRS 493; Leadership Practicum #1; OL; -; ; Kathie Chiu; 3.00
546; LDRS 499; Leadership Project; OL; -; ; Kathie Chiu; 3.00
547; LING 101; Introduction to Linguistics; A; 12:00 PM - 1:15 PM; W; Ryan Kopke; 3.00
548; LING 102; Applying Linquistics in the World; A; 9:30 AM - 10:45 AM; ; Hannah Olney; 3.00
549; LING 210; Language and Society; A; 12:00 PM - 1:15 PM; R; Rick Olney; 3.00
550; LING 330; Phonological Analysis; A; 9:30 AM - 10:45 AM; ; Hannah Olney; 3.00
551; LING 371; Training Across Cultures; A; 1:30 PM - 2:45 PM; W; Miriam Seaver; 3.00
552; LING 398; Linguistics Practicum; A; 3:00 PM - 4:15 PM; ; Randy Lebold; 3.00
553; LING 399; Internship in Field Linguistics; A; -; ; Randy Lebold; 3.00
554; LING 401; TESL Practicum; A; -; ; Kerry Choi; 1.00
555; LING 401; TESL Practicum; A; 4:30 PM - 6:00 PM; ; Kerry Choi; 1.00
556; LING 402; TESOL Teaching Practicum II; A; -; ; Kerry Choi; 1.00
557; LING 402; TESOL Teaching Practicum II; A; 4:30 PM - 6:00 PM; ; Kerry Choi; 1.00
558; LING 420; Teaching Reading and Writing in ESL; A; 6:15 PM - 9:00 PM; ; Karen Mathew; 3.00
559; LING 471; First Language Acquisition; A; 6:00 PM - 9:00 PM; ; Michael Witten; 3.00
560; LING 475; Scripture Engagement; A; 12:00 PM - 1:15 PM; W; Michelle Petersen; 3.00
561; LING 480; Field Methods: Data Mgmt & Analysis; A; 9:30 AM - 10:45 AM; ; Kathleen Sackett; 3.00
562; LING 480; Field Methods: Data Mgmt & Analysis; A; 2:45 PM - 4:00 PM; ; Kathleen Sackett; 3.00
563; LING 481; Ethnography; A; 12:00 PM - 1:15 PM; R; Lezlie Allison; 3.00
564; LING 482; Issues in Community Literacy; A; 12:00 AM - 12:00 AM; ; Jordan Kopke; 3.00
565; LING 483; Lang Program Design & Mgmt; A; 9:30 AM - 10:45 AM; ; Jeremy Lang; 3.00
566; LING 484; Principles of Literacy; A; 12:00 AM - 12:00 AM; ; Jordan Kopke; 3.00
567; LING 485; Principles of Translation; A; 12:00 PM - 1:15 PM; MW; Jeremy Lang; 3.00
568; LING 486; Advanced Phonological Analysis; A; 10:00 AM - 10:50 AM; ; Kathleen Sackett; 3.00
569; LING 487; Lexicography; A; 1:30 PM - 4:00 PM; T; Larry Hayashi; 3.00
570; LING 491; Discourse Analysis; A; 1:30 PM - 2:45 PM; MW; Steve Nicolle; 3.00
571; LING 493; Semantics and Pragmatics; OL; 1:30 PM - 2:45 PM; T; Steve Nicolle; 3.00
572; MATH 102; Intro to Probability and Statistics; A; 8:00 AM - 9:15 AM; TR; Enrique Torres; 3.00
573; MATH 123; Calculus I; A; 12:00 PM - 1:05 PM; MWF; Enrique Torres; 3.00
574; MATH 123; Tutorial for MATH 123; A    T1; 3:00 PM - 4:15 PM; T; Enrique Torres; .00
575; MATH 123; Tutorial for MATH 123; A    T2; 3:00 PM - 4:15 PM; R; Enrique Torres; .00
576; MATH 124; Calculus II; A; 1:30 PM - 2:35 PM; MWF; Sam Pimentel; 3.00
577; MATH 124; Tutorial for MATH 124; A    T1; 3:00 PM - 4:15 PM; T; Sam Pimentel; .00
578; MATH 124; Tutorial for MATH 124; A    T2; 3:00 PM - 4:15 PM; R; Sam Pimentel; .00
579; MATH 190; Mathematics for Elementary Teachers; A; 4:30 PM - 6:30 PM; TR; Greg Scholtens; 3.00
580; MATH 190; Mathematics for Elementary Teachers; IS; 12:00 AM - 12:01 AM; ; Stephen Benecke; 3.00
581; MATH 191; Mathematics, History & Culture; A; 4:30 PM - 6:30 PM; W; Glen Van; 3.00
582; MATH 321; Differential Equations; A; 3:00 PM - 4:15 PM; WF; Simon Tse; 4.00
583; MATH 333; Mathematics of Data Science; A; 1:30 PM - 2:45 PM; W; Simon Tse; 3.00
584; MATH 370; Geometry; A; 8:00 AM - 8:50 AM; WF; Rick Sutcliffe; 3.00
585; MATH 410; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Sam Pimentel; 2.00
586; MATH 411; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Sam Pimentel; 3.00
587; MCOM 111; Introduction to Mass Communication; A; 9:30 AM - 10:45 AM; ; Kevin Schut; 3.00
588; MCOM 140; Introduction to Game Design; A; 6:15 PM - 9:00 PM; ; Andrey Goncharov; 3.00
589; MCOM 171; Introduction to Communication; IR; 9:00 AM - 12:00 PM; ; Adrian Wee; 3.00
590; MCOM 171; Introduction to Communication; IS; 12:00 AM - 12:01 AM; ; Curtis Congo; 3.00
591; MCOM 171; Introduction to Communication; OL; 6:00 PM - 9:00 PM; ; Adrian Wee; 3.00
592; MCOM 190; Communication Colloquium; A; 3:00 PM - 4:15 PM; ; Kevin Schut; .00
593; MCOM 190; Communication Colloquium; OL; -; ; Kevin Schut; .00
594; MCOM 191; Writing & Research in Communication; A; 3:00 PM - 4:15 PM; R; Loranne Brown; 3.00
595; MCOM 192; Comm.Colloquium: Profesional Prep.; A; 3:00 PM - 4:15 PM; ; Kevin Schut; 1.00
596; MCOM 221; Digital Filmmaking I; A; 4:30 PM - 5:45 PM; R; Ned Vankevich; 3.00
597; MCOM 221; Digital Filmmaking I; GX; 12:00 AM - 12:01 AM; ; Ned Vankevich; 3.00
598; MCOM 231; Fundamentals of Digital Design; A; 8:00 AM - 10:45 AM; ; John Wang; 3.00
599; MCOM 231; Fundamentals of Digital Design; B; 8:00 AM - 10:45 AM; ; John Wang; 3.00
600; MCOM 231; Fundamentals of Digital Design; C; 3:00 PM - 5:45 PM; ; John Wang; 3.00
601; MCOM 252; Intro to Public Relations; A; 12:00 PM - 1:15 PM; W; Divine Agodzo; 3.00
602; MCOM 272; Organizational Communication; A; 12:00 PM - 1:15 PM; R; Divine Agodzo; 3.00
603; MCOM 281; Public Speaking; A; 4:30 PM - 5:45 PM; W; Curtis Congo; 3.00
604; MCOM 281; Public Speaking; GX; 12:00 AM - 12:01 AM; ; Ned Vankevich; 3.00
605; MCOM 281; Public Speaking; IR; 9:00 AM - 12:00 PM; ; Curtis Congo; 3.00
606; MCOM 281; Public Speaking; IS; 12:00 AM - 12:01 AM; ; Curtis Congo; 3.00
607; MCOM 281; Public Speaking; UA; 3:00 PM - 4:30 PM; W; Curtis Congo; 3.00
608; MCOM 322; Digital Post Production; A; 6:15 PM - 9:00 PM; ; Ned Vankevich; 3.00
609; MCOM 323; Digital Recording I; A; 6:15 PM - 9:00 PM; ; Jef Gibbons; 3.00
610; MCOM 333; Format & Layout Design; A; 12:00 PM - 2:45 PM; ; Joshua Hale; 3.00
611; MCOM 334; Interaction Design; A; 3:00 PM - 5:45 PM; ; Joshua Hale; 3.00
612; MCOM 354; Sports Journalism; A; 9:30 AM - 10:45 AM; ; Mark Janzen; 3.00
613; MCOM 362; Playwriting; A; 1:30 PM - 4:15 PM; ; Becky Martin; 3.00
614; MCOM 369; Adventures in Narrative Nonfiction; A; 6:15 PM - 9:00 PM; ; Loranne Brown; 3.00
615; MCOM 372; Cross-cultural Communication; A; 9:30 AM - 10:45 AM; ; Divine Agodzo; 3.00
616; MCOM 372; Cross-cultural Communication; GX; -; ; Scott Macklin; 3.00
617; MCOM 372; Cross-cultural Communication; I2; 1:00 PM - 4:00 PM; ; Claudia Launhardt; 3.00
618; MCOM 372; Cross-cultural Communication; IR; 9:00 AM - 12:00 PM; ; Claudia Launhardt; 3.00
619; MCOM 372; Cross-cultural Communication; IS; 12:00 AM - 12:01 AM; ; Ruth Anaya; 3.00
620; MCOM 381; Argumentation and Debate; A; 1:30 PM - 2:45 PM; W; Bill Strom; 3.00
621; MCOM 391; Media+Communication Field Placement; A; 6:15 PM - 9:00 PM; ; Ruth Anaya; 1.00
622; MCOM 392; Media+Comm. Field Placement; A; 6:15 PM - 9:00 PM; ; Ruth Anaya; 2.00
623; MCOM 393; Media+Communication Field Placement; A; 6:15 PM - 9:00 PM; ; Ruth Anaya; 3.00
624; MCOM 393; Media+Communication Field Placement; LC 01; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
625; MCOM 393; Media+Communication Field Placement; LC 02; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
626; MCOM 399; Comm Theory in Everyday Life; A; 9:30 AM - 10:45 AM; ; Bill Strom; 3.00
627; MCOM 411; Media, Culture and Criticism; A; 1:30 PM - 4:15 PM; ; Kevin Schut; 3.00
628; MCOM 412; Masters of Cinema; A; 6:15 PM - 9:00 PM; ; Ned Vankevich; 3.00
629; MCOM 421; Digital Recording II; A; 6:15 PM - 9:00 PM; R; Jef Gibbons; 3.00
630; MCOM 422; Digital Film Direction; A; 6:15 PM - 9:00 PM; ; Ned Vankevich; 3.00
631; MCOM 453; Editing for Newspapers & Magazines; A; 4:30 PM - 5:45 PM; R; Loranne Brown; 3.00
632; MCOM 479; Leadership Communication Capstone; A; 3:00 PM - 4:15 PM; R; Bill Strom; 3.00
633; MUSI 100; Repertory and Studio; A; 4:30 PM - 5:45 PM; ; Suzanne Klukas; .00
634; MUSI 110; Fundamentals of Music; A; 12:00 PM - 1:15 PM; R; Jon Thompson; 3.00
635; MUSI 131; Music History from 1600 -1800; A; 9:30 AM - 10:45 AM; ; Jon Thompson; 3.00
636; MUSI 145; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
637; MUSI 146; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
638; MUSI 147; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
639; MUSI 148; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
640; MUSI 153; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
641; MUSI 153; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
642; MUSI 154; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
643; MUSI 154; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
644; MUSI 161; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
645; MUSI 162; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
646; MUSI 165; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
647; MUSI 165; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
648; MUSI 166; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
649; MUSI 166; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
650; MUSI 225; Tonal Harmony I; A; 9:30 AM - 10:45 AM; ; Allan Thorpe; 3.00
651; MUSI 225; Lab for MUSI 225; Lab A; 8:25 AM - 9:15 AM; R; Cathrie Yuen; .00
652; MUSI 245; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
653; MUSI 246; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
654; MUSI 247; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
655; MUSI 248; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
656; MUSI 253; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
657; MUSI 253; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
658; MUSI 254; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
659; MUSI 254; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
660; MUSI 261; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
661; MUSI 262; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
662; MUSI 265; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
663; MUSI 265; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
664; MUSI 266; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
665; MUSI 266; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
666; MUSI 325; Tonal Harmony III; A; 8:00 AM - 9:15 AM; R; Allan Thorpe; 3.00
667; MUSI 325; Lab for MUSI 325; Lab A; 9:30 AM - 10:20 AM; ; Cathrie Yuen; .00
668; MUSI 327; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
669; MUSI 327; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
670; MUSI 328; Composition; A1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 2.00
671; MUSI 328; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
672; MUSI 328; Composition; B1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 3.00
673; MUSI 328; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
674; MUSI 329; Composition; A1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 2.00
675; MUSI 329; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
676; MUSI 329; Composition; B1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 3.00
677; MUSI 329; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
678; MUSI 340; Digital Recording I; A; 6:15 PM - 9:00 PM; ; Jef Gibbons; 3.00
679; MUSI 341; Digital Recording II; A; 6:15 PM - 9:00 PM; ; Jef Gibbons; 3.00
680; MUSI 345; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
681; MUSI 346; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
682; MUSI 347; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
683; MUSI 348; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
684; MUSI 353; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
685; MUSI 353; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
686; MUSI 354; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
687; MUSI 354; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
688; MUSI 361; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
689; MUSI 362; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
690; MUSI 365; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
691; MUSI 365; New Music collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
692; MUSI 366; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
693; MUSI 366; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
694; MUSI 370; Junior Recital; A; 12:00 AM - 12:01 AM; ; Jon Thompson; 1.00
695; MUSI 372; Instrumental Techiques: Woodwinds; A; 4:00 PM - 5:45 PM; ; Tony Gallo; 1.00
696; MUSI 402; Worship Practicum I; A; 12:00 AM - 12:01 AM; ; David Squires; 1.00
697; MUSI 403; Worship Practicum II; A; 12:00 AM - 12:01 AM; ; David Squires; 1.00
698; MUSI 406; Conducting II; A; 12:00 PM - 1:15 PM; R; Joel Tranquilla; 3.00
699; MUSI 427; Composition; A1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 2.00
700; MUSI 427; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
701; MUSI 427; Composition; B1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 3.00
702; MUSI 427; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
703; MUSI 428; Composition; A1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 2.00
704; MUSI 428; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
705; MUSI 428; Composition; B1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 3.00
706; MUSI 428; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
707; MUSI 429; Composition; A1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 2.00
708; MUSI 429; Composition; A2; 12:00 AM - 12:01 AM; ; David Squires; 2.00
709; MUSI 429; Composition; B1; 12:00 AM - 12:01 AM; ; Jef Gibbons; 3.00
710; MUSI 429; Composition; B2; 12:00 AM - 12:01 AM; ; David Squires; 3.00
711; MUSI 430; Foundation/Princ of Music Education; A; 6:15 PM - 9:00 PM; ; Greg Farrugia; 3.00
712; MUSI 445; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
713; MUSI 446; Orchestra; A; 6:15 PM - 9:00 PM; ; Jon Thompson; 1.00
714; MUSI 447; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
715; MUSI 448; Band; A; 6:15 PM - 9:00 PM; ; Allan Thorpe; 1.00
716; MUSI 453; Chamber Choir; A; 12:00 PM - 1:15 PM; W; Joel Tranquilla; 1.00
717; MUSI 453; Chamber Choir; A; 7:00 PM - 8:15 PM; ; Joel Tranquilla; 1.00
718; MUSI 454; Chamber Choir; A; 12:00 PM - 1:15 PM; WF; Joel Tranquilla; 1.00
719; MUSI 461; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
720; MUSI 462; Vocal Ensemble; C; 3:00 PM - 4:15 PM; R; Jon Thompson; 1.00
721; MUSI 465; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
722; MUSI 465; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
723; MUSI 466; Jazz Combo; B; 4:30 PM - 5:45 PM; R; Jef Gibbons; 1.00
724; MUSI 466; New Music Collective; K; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
725; MUSI 470; Senior Recital; A; 12:00 AM - 12:01 AM; ; Jon Thompson; 1.00
726; MUSA 101; Repertory and Studio; A; 4:30 PM - 5:45 PM; ; Cathrie Yuen; 1.00
727; MUSA 102; Repertory and Studio; A; 4:30 PM - 5:45 PM; ; Cathrie Yuen; 1.00
728; MUSA 110; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
729; MUSA 110; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
730; MUSA 110; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
731; MUSA 110; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
732; MUSA 110; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
733; MUSA 110; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
734; MUSA 111; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
735; MUSA 111; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
736; MUSA 111; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
737; MUSA 111; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
738; MUSA 111; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
739; MUSA 111; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
740; MUSA 120; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
741; MUSA 120; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
742; MUSA 120; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
743; MUSA 120; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
744; MUSA 120; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
745; MUSA 120; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
746; MUSA 121; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
747; MUSA 121; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
748; MUSA 121; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
749; MUSA 121; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
750; MUSA 121; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
751; MUSA 121; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
752; MUSA 130; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
753; MUSA 130; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
754; MUSA 131; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
755; MUSA 131; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
756; MUSA 134; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
757; MUSA 134; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
758; MUSA 135; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
759; MUSA 135; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
760; MUSA 136; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
761; MUSA 136; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
762; MUSA 137; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
763; MUSA 137; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
764; MUSA 138; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
765; MUSA 138; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
766; MUSA 139; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
767; MUSA 139; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
768; MUSA 140; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
769; MUSA 140; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
770; MUSA 141; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
771; MUSA 141; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
772; MUSA 144; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
773; MUSA 144; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
774; MUSA 145; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
775; MUSA 145; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
776; MUSA 150; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
777; MUSA 150; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
778; MUSA 151; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
779; MUSA 151; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
780; MUSA 160; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
781; MUSA 160; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
782; MUSA 161; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
783; MUSA 161; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
784; MUSA 162; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
785; MUSA 162; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
786; MUSA 163; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
787; MUSA 163; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
788; MUSA 164; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
789; MUSA 164; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
790; MUSA 165; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
791; MUSA 165; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
792; MUSA 166; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
793; MUSA 166; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
794; MUSA 167; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
795; MUSA 167; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
